flaketype,frequencyghz,temperaturek,aeffum,max_dimension_mm,cabs,cbk,cext,csca,g,ar
5,3.000000,273.149994,112.400002,0.500000,8.242051e-14,8.707865e-17,8.247905e-14,5.853897e-17,2.007900e-04,-1.000000
5,3.000000,273.149994,133.699997,0.750000,1.499759e-13,2.638627e-16,1.501542e-13,1.782796e-16,2.204100e-04,-1.000000
5,3.000000,273.149994,202.899994,1.000000,4.814730e-13,3.000724e-15,4.834962e-13,2.023177e-15,2.586700e-04,-1.000000
5,3.000000,273.149994,276.700012,1.500000,1.262659e-12,1.989977e-14,1.276129e-12,1.346965e-14,3.507400e-04,-1.000000
5,3.000000,273.149994,309.799988,2.000000,1.818543e-12,3.989798e-14,1.845499e-12,2.695567e-14,4.718700e-04,-1.000000
5,3.000000,273.149994,385.600006,2.500000,3.453382e-12,1.464140e-13,3.552228e-12,9.884623e-14,5.980400e-04,-1.000000
5,3.000000,273.149994,435.500000,3.000000,5.009544e-12,3.053098e-13,5.217586e-12,2.080418e-13,7.909300e-04,-1.000000
5,3.000000,273.149994,512.099976,3.500000,8.062898e-12,7.995885e-13,8.605368e-12,5.424698e-13,1.012900e-03,-1.000000
5,3.000000,273.149994,533.599976,4.000000,9.209796e-12,1.029036e-12,9.908742e-12,6.989462e-13,1.257600e-03,-1.000000
5,3.000000,273.149994,655.000000,5.000000,1.698929e-11,3.502280e-12,1.936685e-11,2.377558e-12,1.872400e-03,-1.000000
5,3.000000,273.149994,763.099976,6.000000,2.699854e-11,8.757251e-12,3.295055e-11,5.952008e-12,2.630700e-03,-1.000000
5,3.000000,273.149994,852.700012,7.000000,3.776996e-11,1.698397e-11,4.934080e-11,1.157084e-11,3.524900e-03,-1.000000
5,3.000000,273.149994,934.900024,8.000000,5.003802e-11,2.952717e-11,7.021440e-11,2.017639e-11,4.513300e-03,-1.000000
5,3.000000,273.149994,1022.000000,9.000000,6.518060e-11,4.989796e-11,9.936563e-11,3.418503e-11,5.640800e-03,-1.000000
5,3.000000,273.149994,1086.199951,10.000000,7.891608e-11,7.202796e-11,1.284467e-10,4.953058e-11,6.875900e-03,-1.000000
6,3.000000,273.149994,19.400000,0.050000,3.561889e-16,2.037639e-21,3.561903e-16,1.363864e-21,1.788300e-04,-1.000000
6,3.000000,273.149994,40.599998,0.100000,3.157316e-15,1.664154e-19,3.157428e-15,1.111249e-19,1.796400e-04,-1.000000
6,3.000000,273.149994,59.000000,0.200000,1.110976e-14,1.729486e-18,1.111093e-14,1.160188e-18,1.832700e-04,-1.000000
6,3.000000,273.149994,72.400002,0.300000,2.228049e-14,6.255480e-18,2.228469e-14,4.200688e-18,1.874500e-04,-1.000000
6,3.000000,273.149994,96.500000,0.400000,5.275900e-14,3.507402e-17,5.278255e-14,2.355285e-17,1.940000e-04,-1.000000
6,3.000000,273.149994,98.800003,0.500000,5.831842e-14,4.151550e-17,5.834643e-14,2.800830e-17,1.998600e-04,-1.000000
6,3.000000,273.149994,137.000000,0.750000,1.577479e-13,2.979738e-16,1.579490e-13,2.011752e-16,2.246300e-04,-1.000000
6,3.000000,273.149994,177.500000,1.000000,3.494878e-13,1.418449e-15,3.504431e-13,9.552936e-16,2.602800e-04,-1.000000
6,3.000000,273.149994,188.199997,1.500000,4.497091e-13,2.148061e-15,4.511614e-13,1.452333e-15,3.476500e-04,-1.000000
6,3.000000,273.149994,305.399994,2.000000,1.762595e-12,3.644340e-14,1.787150e-12,2.455572e-14,4.905100e-04,-1.000000
6,3.000000,273.149994,366.700012,2.500000,3.104052e-12,1.113961e-13,3.179176e-12,7.512366e-14,6.342900e-04,-1.000000
6,3.000000,273.149994,392.100006,3.000000,3.829965e-12,1.673424e-13,3.944179e-12,1.142141e-13,8.330800e-04,-1.000000
6,3.000000,273.149994,477.700012,3.500000,6.804269e-12,5.382709e-13,7.169481e-12,3.652118e-13,1.084900e-03,-1.000000
6,3.000000,273.149994,497.600006,4.000000,7.740805e-12,6.896126e-13,8.208136e-12,4.673326e-13,1.355600e-03,-1.000000
6,3.000000,273.149994,568.400024,5.000000,1.158297e-11,1.533234e-12,1.262393e-11,1.040965e-12,2.008300e-03,-1.000000
6,3.000000,273.149994,677.500061,6.000000,1.945705e-11,4.344653e-12,2.240264e-11,2.945595e-12,2.826600e-03,-1.000000
6,3.000000,273.149994,751.599976,7.000000,2.680852e-11,8.146499e-12,3.236278e-11,5.554258e-12,3.775300e-03,-1.000000
6,3.000000,273.149994,879.400024,8.000000,4.235648e-11,2.043126e-11,5.628353e-11,1.392706e-11,4.895500e-03,-1.000000
6,3.000000,273.149994,966.299988,9.000000,5.643894e-11,3.596002e-11,8.107143e-11,2.463249e-11,6.133700e-03,-1.000000
6,3.000000,273.149994,984.200012,10.000000,5.977262e-11,3.989276e-11,8.720072e-11,2.742809e-11,7.465300e-03,-1.000000
7,3.000000,273.149994,20.500000,0.050000,4.128435e-16,2.787421e-21,4.128454e-16,1.861691e-21,1.789100e-04,-1.000000
7,3.000000,273.149994,41.400002,0.100000,3.317269e-15,1.858674e-19,3.317393e-15,1.240981e-19,1.796600e-04,-1.000000
7,3.000000,273.149994,62.500000,0.200000,1.313333e-14,2.414043e-18,1.313494e-14,1.612766e-18,1.836800e-04,-1.000000
7,3.000000,273.149994,77.500000,0.300000,2.729051e-14,9.301635e-18,2.729672e-14,6.214002e-18,1.882200e-04,-1.000000
7,3.000000,273.149994,103.300003,0.400000,6.462678e-14,5.216163e-17,6.466163e-14,3.484778e-17,1.952100e-04,-1.000000
7,3.000000,273.149994,106.400002,0.500000,7.234804e-14,6.315619e-17,7.239027e-14,4.223800e-17,2.016300e-04,-1.000000
7,3.000000,273.149994,147.600006,0.750000,1.961410e-13,4.545198e-16,1.964451e-13,3.040946e-16,2.278800e-04,-1.000000
7,3.000000,273.149994,190.500000,1.000000,4.323228e-13,2.139280e-15,4.337544e-13,1.431613e-15,2.646000e-04,-1.000000
7,3.000000,273.149994,201.500000,1.500000,5.520612e-13,3.172164e-15,5.541878e-13,2.126609e-15,3.524900e-04,-1.000000
7,3.000000,273.149994,327.399994,2.000000,2.173820e-12,5.453843e-14,2.210364e-12,3.654407e-14,5.014600e-04,-1.000000
7,3.000000,273.149994,393.799988,2.500000,3.839083e-12,1.675660e-13,3.951147e-12,1.120642e-13,6.505700e-04,-1.000000
7,3.000000,273.149994,421.600006,3.000000,4.757463e-12,2.535508e-13,4.928743e-12,1.712803e-13,8.587000e-04,-1.000000
7,3.000000,273.149994,512.500000,3.500000,8.400117e-12,8.061783e-13,8.942165e-12,5.420469e-13,1.111500e-03,-1.000000
7,3.000000,273.149994,534.200012,4.000000,9.577472e-12,1.036726e-12,1.027417e-11,6.966999e-13,1.388800e-03,-1.000000
7,3.000000,273.149994,610.900024,5.000000,1.437527e-11,2.315485e-12,1.593250e-11,1.557233e-12,2.065400e-03,-1.000000
7,3.000000,273.149994,727.700012,6.000000,2.411420e-11,6.544735e-12,2.851847e-11,4.404273e-12,2.900000e-03,-1.000000
7,3.000000,273.149994,808.400024,7.000000,3.334587e-11,1.234354e-11,4.168439e-11,8.338520e-12,3.893200e-03,-1.000000
7,3.000000,273.149994,945.400024,8.000000,5.267614e-11,3.100393e-11,7.365000e-11,2.097386e-11,5.042400e-03,-1.000000
7,3.000000,273.149994,1038.400024,9.000000,7.005688e-11,5.432176e-11,1.069535e-10,3.689665e-11,6.302500e-03,-1.000000
7,3.000000,273.149994,1057.800049,10.000000,7.424222e-11,6.028870e-11,1.153356e-10,4.109335e-11,7.672700e-03,-1.000000
8,3.000000,273.149994,21.200001,0.050000,4.507392e-16,3.375995e-21,4.507414e-16,2.253908e-21,1.789300e-04,-1.000000
8,3.000000,273.149994,42.200001,0.100000,3.485985e-15,2.073427e-19,3.486124e-15,1.384290e-19,1.797000e-04,-1.000000
